DIVISION_NAME,DEPARTMENT_NAME,ART_SV_NAME,BARCODE,UOM,END_QTY,NORMAL_COST
04 DRY FOOD,0460 HBA,เดทตอลเจลลาสติ้งเฟรช450ก.,8850360028860,mL,27,147.22
04 DRY FOOD,0430 SALTED GROCERY,ฮั่วเซ่งฮงซีอิ๊วขาว 220กรัม,8859389910019,g,37,24.53
06 PHARMACY,0620 OVER THE COUNTER,P_เบลลา พารา แผง 10 เม็ด,8859564200805,pc,14,7.71
04 DRY FOOD,0470 HOUSEHOLD,เกลดเซ็นท์เต็ดเจลมะนาว180กคู่,8850175021674,g,7,109.985
02 HOME LINE,0210 HOUSEWARE,BKS ชุดมีดเคลือบNON-STICK 2ช.,2000008640176,pc,10,68.568
02 HOME LINE,0210 HOUSEWARE,เบสิโคไม้แขวนเสื้อสูทสีไม้,8859426095600,pc,12,65
04 DRY FOOD,0430 SALTED GROCERY,รสดีลดโซเดียมรสหมู 60 กรัม,8850250012610,g,16,13.177
04 DRY FOOD,0430 SALTED GROCERY,ตรามือออริกาโน่10ก.,8850885411574,g,11,33
04 DRY FOOD,0420 SWEETED GROCE.2,โอรีโอคุกกี้วานิลลา 27.6ก.X9,4893049150012,g,13,42.39
04 DRY FOOD,0420 SWEETED GROCE.2,โก๋แก่กระป๋องถั่วรสต้มยำ 200ก,8852023666549,g,21,52.661
04 DRY FOOD,0420 SWEETED GROCE.2,BPเอลเซ่เค้กใบเตย 15ก.P24,8850425011981,g,24,56.008
04 DRY FOOD,0461 FACE & COSMETICS,กานิเย่เมนเทอโบเซรั่ม7มล ซอง,8992304018503,mL,10,16
04 DRY FOOD,0472 PAPER,โซฟีคูลลิ่งเนเชอรัลสลิม29ซม/12,8851111159086,pc,23,58.18
04 DRY FOOD,0460 HBA,ไลโอ คัลเลอร์03 น้ำตาลทอง30มล,8859249702488,mL,10,35.84
04 DRY FOOD,0461 FACE & COSMETICS,BBมอร์นิ่งซีร์ลิป3.8กรัม พีช,8858842055014,g,7,78.44
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,สีเมจิก2หัว12สีตราม้าH220A,8851552309316,,14,72
04 DRY FOOD,0460 HBA,ลอรีอัล ไฮยาเพียว ครีมนวด375มล,8994993027071,mL,34,155.44
06 PHARMACY,0620 OVER THE COUNTER,P_FOTAGEL 20 ML,8806718034397,mL,59,24.49
04 DRY FOOD,0460 HBA,12พลัส พ็อคเก็ตสปาคกลิ้ง20มล,8851123782067,mL,5,29.523
06 PHARMACY,0620 OVER THE COUNTER,P_เชอเอม ยาหม่องไพลสด 22 กรัม,8855073000325,,6,25.5
06 PHARMACY,0610 PRESCRIPTION,P_ลาซีน 5มก.,8903726273197,pc,3,46.723
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_CALTRATEซิลเวอร์ 30 เม็ด,8851005400010,pc,3,185.89
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,YOYA ยางลบดินสอ #5882/P2,8852398140057,pc,19,14.49
04 DRY FOOD,0460 HBA,นีเวียเอ็กซตร้าไวท์C&E 300มล,8850029028521,mL,6,187.62
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,FOปก.ลูกลื่นนง.0.5มมGELB046 P3,8935324025793,pc,12,21.36
04 DRY FOOD,0460 HBA,สมูทโตะอโลกลูต้าบอดี้เซรั่มซอง,8859497303086,mL,9,28.85
02 HOME LINE,0210 HOUSEWARE,BHP แปรงขัดพื้นมีด้ามจับ,8859426096218,pc,8,35
02 HOME LINE,0210 HOUSEWARE,สวอชม็อบถูพื้นชินรี,4895125705918,pc,6,283.57
04 DRY FOOD,0471 HOUSEHOLD_WHSL,WBPซอฟเฟลโลชั่นเฟรช8มลP24,8992772054416,mL,17,73.794
04 DRY FOOD,0410 SWEETED GROCE.1,แบรนด์รังนกแท้ไซลิทอล70มลX6,8852001326519,cc,7,783.943
04 DRY FOOD,0440 BEVERAGE,นมอีสฟิลด์แลคโตสฟรี180มล.แพ็ค3,8854320003256,mL,4,46.05
02 HOME LINE,0210 HOUSEWARE,ตะหลิวกรองเดอลักซ์ SEGULL,8850633047024,,11,67.54
04 DRY FOOD,0420 SWEETED GROCE.2,เปเล่ถั่วเขียวซีกอบเกลือ120ก.,8851243400131,g,46,23.551
04 DRY FOOD,0430 SALTED GROCERY,ปิ่นเงินหอมมะลิแท้100% 1กก.,8852943003097,kg,93,89
04 DRY FOOD,0450 LIQUOR,ซันมุลโซจูโยเกิร-บลูเบอรี360มล,8850382819033,mL,16,56.98
04 DRY FOOD,0410 SWEETED GROCE.1,DI_CRFกากาคูเอ้ปิงดาส์ 125ก.,3560071018566,g,9,32.934
06 PHARMACY,0610 PRESCRIPTION,P_มานาซิธดรายไซรัป 15 มล,8856513009922,mL,1,109.35
04 DRY FOOD,0430 SALTED GROCERY,มาม่าคัพหม่าล่า 60กรัม แพ็ค3,8850987194603,g,12,31.855
04 DRY FOOD,0410 SWEETED GROCE.1,แฮปปี้ไบท์ รสบลูเบอร์รี่ 50ก,8852098705686,g,6,48.36
04 DRY FOOD,0410 SWEETED GROCE.1,อิมพีเรียลแป้งสำเร็จรูปสำหรับทำวาฟเฟิล 400 กรัม,8850332193329,g,5,45.21
04 DRY FOOD,0410 SWEETED GROCE.1,UFCลูกตาลในน้ำเชื่อม565ก.,8850025127617,g,19,78.427
04 DRY FOOD,0470 HOUSEHOLD,ดาวน์นี่ลักซ์ฮาโมนี่ 470มล 2+1,4987176352248,mL,8,135.74
04 DRY FOOD,0420 SWEETED GROCE.2,IMP_มายบิสกิตไดเจสทีฟเรซินบิส,9555480007311,g,19,35.71
04 DRY FOOD,0430 SALTED GROCERY,IMP_แคมเบล ซุปครีมเห็ด 305G,51000012616,g,14,69.112
06 PHARMACY,0620 OVER THE COUNTER,P_AMB สำลีก้อน 40 กรัม,8850185002571,g,4,12.94
06 PHARMACY,0620 OVER THE COUNTER,P_กาวิสคอนดูอัลแอคชั่นชนิดน้ำ10มล 1ซอง,96060063,mL,25,25.82
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_PATARวิตซีรสองุ่น ซอง20เม็ด,8855011001575,pc,14,5.14
02 HOME LINE,0210 HOUSEWARE,BESICO ที่คีบน้ำแข็ง 23 ซม.,8851272256747,pc,5,28
05 FRESH FOOD,0562 PERISHABLE_SME,ณารามะขามแช่อิ่ม 120ก,8857126270129,g,8,23.691
02 HOME LINE,0210 HOUSEWARE,เบสิโคห่วงสแตนเลสเล็ก 8 ชิ้น,8859426099752,pc,10,50
