Site,Structure,Root Code,SV,Saleable,Barcode,Description,Barcode Component,SV,Description Component,Quantity,Saleable
11252,41020,102911565,1,N ,18850151951206,BPมะลินมข้นหวาน2กก.P10 ,8850151951209,0,WBPมะลิ ผลิตภัณฑ์นมข้นหวาน 2กก ,10,Y 
11252,41020,103067599,1,N ,8850124037923,WBPคาร์เนชันครีมข้นหวาน505GP48 ,8850124037916,0,คารเนชันครีมเทียมข้นหวาน กป505 ,48,Y 
11252,41020,103108878,1,Y ,18850188801680,WBPนกเหยี่ยว นมข้นหวาน 2กก P8 ,8850188801683,0,WBPนกเหยียวครีมเทียมข้นหวาน2กก ,8,Y 
11252,41030,101019843,1,Y ,8851123225021,เปปทีน4000  100 มล. 1X4X6 ,8851123225014,0,เปปทีน4000 (100 มล.*6) ,4,Y 
11252,41030,102681329,1,Y ,28851123225407,เปปทีน พลัส 100 ML. 1X4X6 ,8851123225397,0,เปปทีนพลัส100 มล.แพค6 ขวด ,4,Y 
11252,41040,102159889,1,Y ,8852805006075,BIGCแป้งทอดกรอบ150G P36 ,8852805006051,0,BIGCแป้งทอดกรอบ150G ,36,N 
11252,41040,102159930,1,Y ,8852805006037,BIGCแป้งทอดรสกระเทียม90G.P24 ,8852805006068,0,BIGCแป้งทอดกรอบรสกระเทียม90G. ,24,N 
11252,41040,102159941,1,Y ,8852805006020,BIGCแป้งชุบทอดรสเผ็ดร้อน90กP24 ,8852805006044,0,BIGCแป้งชุบทอดรสเผ็ดร้อน 90 G. ,24,N 
11252,41040,102172808,1,Y ,8858769704019,BIGCแยมสตรอเบอร์รี200G.P18 ,8858769701605,0,BIGCแยมสตรอเบอร์รี200G. ,18,N 
11252,41040,102172810,1,Y ,8858769704033,BIGCแยมมิกซ์เบอร์รี200G.P18 ,8858769702114,0,BIGCแยมมิกซ์เบอร์รี200G. ,18,N 
11252,41040,102172811,1,Y ,8858769704040,BIGCแยมสตรอเบอร์รี400G.P12 ,8858769702107,0,BIGCแยมสตรอเบอร์รี400G. ,12,N 
11252,41040,102172812,1,Y ,8858769704057,BIGCมาร์มาเลดส้ม400G.P12 ,8858769701636,0,BIGCมาร์มาเลดส้ม400G. ,12,N 
11252,41040,102189507,1,Y ,88850297992100,BIGCเกล็ดขนมปังชุบทอด1000G.P10 ,8850297992111,0,BIGCเกล็ดขนมปังชุบทอด1000G. ,10,N 
11252,41040,102304047,1,Y ,28850341100329,BIGCแป้งข้าวเจ้า400G.P24 ,8850341101179,0,BIGCแป้งข้าวเจ้า400G. ,24,N 
11252,41040,102532126,1,Y ,28850341700123,BIGC แป้งข้าวโพด 400 กรัมP24 ,8850341700129,0,BIGC แป้งข้าวโพด 400 กรัม ,24,N 
